page,2013-04-01 pi,2013-05-01 pi,2013-06-01 pi,2013-07-01 pi,2013-08-01 pi,2013-09-01 pi,2013-10-01 pi,2013-11-01 pi,2013-12-01 pi,2014-01-01 pi,2014-02-01 pi,2014-03-01 pi,2014-04-01 pi,2014-05-01 pi,2014-06-01 pi,2014-07-01 pi,2014-08-01 pi,2014-09-01 pi,2014-10-01 pi,2014-11-01 pi,2014-12-01 pi,2015-01-01 pi,2015-02-01 pi,2015-03-01 pi,2015-04-01 pi,2015-05-01 pi,2015-06-01 pi,2015-07-01 pi,2015-08-01 pi,2015-09-01 pi,2015-10-01 pi,2015-11-01 pi,2015-12-01 pi,2016-01-01 pi,2016-02-01 pi,2016-03-01 pi,2016-04-01 pi,2016-05-01 pi,2016-06-01 pi,2016-07-01 pi,2016-08-01 pi,2016-09-01 pi,2016-10-01 pi,2016-11-01 pi,2016-12-01 pi,2017-01-01 pi,2017-02-01 pi,2017-03-01 pi,2017-04-01 pi,2017-05-01 pi,2017-06-01 pi,2017-07-01 pi,2017-08-01 pi,2017-09-01 pi,2017-10-01 pi,2017-11-01 pi,2017-12-01 pi,2018-01-01 pi,2018-02-01 pi,2018-03-01 pi,2018-04-01 pi,2018-05-01 pi,sum
leistungsfähigkeit-der-böden-2010-umweltatlas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,1,1,,,,,,,,,1,,,3,12
finanzämter-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,1,1,1,,,8,30,14,11,4,1,7,8,14,7,2,1,2,1,,3,132
geometrien-der-lor-planungsräume-berlins-stand-072012,,,49,24,19,11,30,22,10,42,29,24,10,34,36,29,22,27,43,21,26,28,15,19,13,18,9,19,15,10,13,29,20,19,10,6,10,14,9,6,8,7,7,6,14,13,7,5,17,27,11,4,7,12,11,3,6,8,4,11,2,3,983
karte-von-berlin-15000-k5-sw-ausgabe-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,7,1,3,3,1,4,7,2,3,3,8,5,5,16,10,,3,87
gründächer-dachteilflächen-gebäude-umweltatlas-wfs-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
haushaltsplan-des-bezirksamtes-lichtenberg-von-berlin-für-20182019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,2,3,4,3,5,3,45
einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-31122011,,,,,,,,,,,,,,7,6,9,12,4,8,8,5,6,3,7,4,2,2,2,2,4,,2,,2,2,2,2,5,6,3,3,,,,1,13,4,7,3,3,,,,2,3,3,3,3,3,,1,3,170
gesundheitsberichterstattung-berlin-bevölkerung-und-bevölkerungsspezifische-1,,,,,,,,,,,1,,1,1,,,,,2,1,3,,1,,,,1,,1,3,1,1,1,,1,8,1,4,6,1,5,4,9,6,3,14,12,16,13,5,3,4,1,11,4,6,6,12,1,1,5,3,183
städtebauliche-dichte-geschossflächenzahl-gfz-2015-lor-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,9
preisblatt-anschluss-niederspannung-berlin,,,2,3,1,,,,1,,1,1,,1,,2,1,2,,1,,,,,,,2,,1,,,1,1,2,2,2,2,3,3,,4,1,1,1,2,4,1,2,1,2,,,,1,,4,1,3,1,2,4,2,72
adressen-berlin-wfs-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,10,4,2,31
baugrundkarte-spandau-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,2,6
bruttowertschöpfung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,6,10,5,4,7,2,3,2,55
sozialstatistisches-berichtswesen-berlin-gesundheitsmodernisierungsgesetz-gmg-%C2%A7264-sgb-v,,,,,,,,,,,1,2,3,10,6,5,3,7,8,8,3,9,14,10,5,5,1,5,6,6,1,3,5,1,4,16,22,9,3,7,3,2,1,5,3,3,9,6,2,11,6,,1,1,1,5,1,7,1,,2,2,260
gesundheitsberichterstattung-berlin-gesundheitsindikator-348-pflegebedürftige-nach,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,2,,5,,,,,,2,13
verlauf-der-berliner-mauer-1989-grenzstreifen-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,5
brandenburger-weihnachtsmärkte-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,38,,,,,,2,43
städtebauliche-dichte-geschossflächenzahl-gfz-2015-umweltatlas-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,,31,16,7,3,4,2,,2,75
schutzgebiete-nach-naturschutzrecht-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,4,2,13
wohnatlas-berlin-umgewandelte-wohnungen-2004-2009-pro-1000-wohnungen-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
lebensweltlich-orientierte-räume-lor-bezirksregionen-wms-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
angebote-freier-träger-zur-unterstützung-von-flüchtlingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,55,20,3,4,6,2,1,7,1,2,1,5,2,2,4,2,123
geometrien-der-ortsteile-von-berlin-juli-2012,,,,,,,,,,,,,,,,,,,,,,,28,51,50,49,44,26,26,21,27,23,34,21,18,6,7,7,9,3,7,6,3,2,5,8,5,,31,68,49,4,10,7,6,7,6,9,2,8,6,2,701
standardlastprofil-gewerbekunden-2013-berlin,,,6,3,7,5,3,2,2,6,4,2,3,1,,2,2,6,1,5,1,,1,,3,2,1,1,3,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,76
arbeitslosenanteil-2014-lor-v2-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,6
aktenplan-der-senatsverwaltung-für-finanzen-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,24,3,13,7,2,4,2,81
digitale-farbige-orthophotos-2016-dop20rgb-wms-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,4
detailnetz-berlin-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,4
gesundheitsberichterstattung-berlin-gesundheitsindikator-220-arbeitslose,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,3,1,4,,1,,,1,,,,,,,1,1,2,18
als-naturdenkmale-geschützte-bäume-charlottenburg-wilmersdorf-0,,,,,,,,,,,,,,,,,,,,,,,,21,32,10,11,6,3,3,11,3,7,7,12,12,3,8,2,4,16,18,2,5,,16,3,7,8,9,1,3,5,1,6,6,1,1,1,2,,2,268
gesundheitsberichterstattung-berlin-kontext-hbsc-studie-berlin-2006,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,2,8
rbs-bezirke-dezember-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,37,25,18,30,20,7,14,5,3,21,6,6,6,4,,2,1,,,,4,2,2,3,1,2,317
geländehöhen-2009-umweltatlas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,12,10,1,4,5,14,,1,2,6,2,3,4,3,2,9,8,2,101
tagesparameterabhängiges-lastprofil-speicherheizung-ab-2013-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,4,2,,,,4,2,1,2,1,1,,,3,2,,7,3,2,2,,15,2,60
grünanlagen-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,9
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,39,15,24,12,6,21,5,22,10,13,12,11,11,2,229
statistische-blöcke-des-rbs-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7,2,19
gesundheitsberichterstattung-berlin-gesundheitsindikator-48-body-mass-index-bmi-der,,,,,,,,,,,2,,,,,,,,2,1,,,,,,,,,,,1,1,,,1,,,,2,,1,,,,1,,2,2,,1,,,,,4,1,,2,2,2,1,2,31
spielplatzversorgung-öffentlich-und-privat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,2,7,2,3,1,13,1,1,,2,43
differenzbilanzierung-2011-berlin,,,2,1,2,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,1,,,,,,,,,,,,2,16
test-gebäude-zahlen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,2,8
geologische-bohrdaten-wms-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,3
archäologische-fundstellen-und-bodendenkmale-aisber-atom-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,8
wohnatlas-berlin-angebotsmieten-20082009-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
eintrittspreisregelungen-öffentlich-geförderter-berliner-kultureinrichtungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,21,3,1,5,2,6,5,5,3,3,10,4,3,4,2,2,1,1,,2,99
vbb-fahrplan2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,1,,,,,,,,,2,6
strat-lärmkarte-gesamtlärmindex-ln-nacht-raster-2017-ua-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,2,14
vbb-fahrplandaten-februar-bis-dezember-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,207,24,13,9,6,7,2,6,6,,,,1,3,1,,,,,,1,,,,,,2,389
detailnetz-bauwerke-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,12,10,11,3,8,,,,2,15,5,7,6,8,1,,1,2,3,3,2,4,4,1,3,2,129
grünvolumen-straßenflächen-umweltatlas-wfs-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
angebote-des-bezirksamts-zur-unterstützung-von-flüchtlingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,3,2,2,3,3,2,1,3,1,3,5,2,1,,3,1,1,2,,,,,1,1,,1,1,,,2,103
stadtstruktur-2001-umweltatlas-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,2,7
gesundheitsberichterstattung-berlin-gesundheitszustand-der-bevölkerung-allgemeine-4,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,1,1,,,,5,4,5,,2,1,1,,2,1,1,3,1,1,2,35
strat-lärmkarte-ln-nacht-index-straßen-u-bahnverkehr-2017-ua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,4
einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-nach-wohndauer-am-31122012,,,,,,,,,,,,,,8,3,6,5,2,6,2,4,2,2,1,1,2,1,2,2,,1,1,,2,3,,5,5,,,,1,,1,,,1,4,1,2,,,,,2,3,,,,5,1,2,89
standardeinspeisprofil-bhkw-2016-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,2,,,1,,,,1,1,1,1,1,2,1,1,1,1,1,2,23
europawahl-2014-berlin-nach-wahlbezirken-endgültiges-ergebnis,,,,,,,,,,,,,,,,41,24,24,21,25,10,13,8,13,10,9,21,11,8,12,9,5,7,6,20,7,7,9,5,3,2,23,4,3,3,7,6,8,3,2,1,,1,3,1,4,,,,,3,2,404
genehmigungsbedürftige-anlagennebenanlagen-nach-%C2%A7-4-bimschg-umweltatlas-wms-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,10
städtische-wohnungen-2014-lor-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,2,6
wohnatlas-berlin-wohnungsverkäufe-2004-2009-pro-1000-wohnungen-wms-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-am-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,49,49,33,37,57,108,64,88,53,78,84,61,57,41,17,9,16,16,14,13,16,10,20,12,17,2,1061
lebensweltlich-orientierte-räume-lor-bezirksregionen-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,13,13,10,21,11,12,5,12,9,1,11,10,12,8,3,4,7,3,6,5,5,3,5,1,2,1,2,203
vbb-fahrplandaten-ende-juni-bis-dezember-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,174,32,2,15,10,5,2,4,4,2,2,3,2,2,,,,3,2,2,6,4,2,412
gesundheitsberichterstattung-berlin-gesundheitsindikator-38-häufigste-todesursachen-icd,,,,,,,,,,,,3,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,2,14
einwohnerinnen-und-einwohner-mit-migrationshintergrund-2014-lor-v-2-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,4
wohnatlas-berlin-prozentuale-veränderungen-der-einwohnerzahlen-2005-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,,3,1,2,2,,,2,16
gründächer-umweltatlas-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
bevölkerungszahlen-berlin,54,44,37,16,12,8,15,10,7,23,19,11,8,16,10,13,5,8,12,5,9,5,6,9,7,7,7,4,11,1,4,11,5,8,14,2,5,5,9,,2,5,9,3,7,3,3,9,9,5,5,5,4,10,6,4,7,14,9,5,3,2,591
umsatz-und-beschäftigte-des-einzelhandels-berlin-und-brandenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,16,2,41
liste-der-häufigen-nachnamen-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,2,5
10-mbit-breitbandversorgung-über-alle-technologien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4
gewässerkarte-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,3
einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-30062013,,,,,,,,,,,,,,32,43,32,29,33,33,34,16,26,7,4,5,3,2,4,4,8,7,4,,1,3,2,,1,,,,,,,1,,2,5,1,2,,,,,,,1,1,1,1,1,2,351
flurstücke-im-inspire-datenmodell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
blöcke-wfs-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,5
historie-ab-2008-differenzbilanzierung-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,1,,,1,,,,,,,,,,,,,,,2,7
atkis%C2%AE-dgm-digitales-geländemodell-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,13,,2,22
spielplatzversorgung-öffentlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
wohnatlas-berlin-anteil-der-einwohner-mit-mind-einjähriger-wohndauer-2009-wms-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-30062011,,,,,,,,,,,,,,6,9,14,8,4,2,5,3,22,7,5,7,2,4,1,2,6,3,1,1,5,1,5,4,1,1,,2,1,1,15,,,2,26,14,4,3,17,10,23,25,31,40,3,38,13,3,2,402
lichtsignalanlagen-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,5
liste-der-haeufigen-vornamen-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,3
vbb-fahrplandaten-ende-april-bis-dezember-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,189,146,18,5,7,8,7,,,,2,,2,1,,1,,,,,,1,,1,2,472
vbb-fahrplandaten-mai-2017-bis-dezember-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,18,8,9,1,9,2,1,1,2,2,1,2,178
lebensweltlich-orientierte-räume-bezirksregionen-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,2,6
erhaltungsverordnungsgebiete-%C2%A7-172-baugb-wms-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
geografische-bezeichnungen-im-inspire-datenmodell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
wahllokale-zur-bundestagswahl-2013-berlin,,,,,,3527,46,48,2,5,28,10,28,24,4,8,2,2,2,4,2,5,3,4,3,1,,,,7,3,3,4,7,8,8,13,13,5,12,12,12,3,6,1,1,2,10,8,3,9,7,15,65,3,9,,,,2,2,2,4013
blockkarte-1-5000-isu5-raumbezug-umweltatlas-2015-wfs-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,3
handel-verkehr-gastgewerbe-iuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,27,30,2,9,1,1,,2,81
kamerale-monatsdaten-bezirk-lichtenberg-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,11
klimamodell-berlin-planungshinweise-stadtklima-2015-leitbahnkorridore-umweltatlas-wfs-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
digitale-color-infrarot-orthophotos-2016-dop20cir-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,5,4,5,6,12,,,,,4,3,,,,,2,2,48
übersichtskarte-von-berlin-1-50-000-ük50-sw-kombi-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,,,,,,,,,,,,,,,,,,,1,,2,1,4,2,18
langzeitarbeitslose-2014-lor-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,3,4,,,,,1,2,20
anteil-erneuerbarer-energieträger-am-primärenergieverbrauch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
karte-von-berlin-15000-k5-farbausgabe-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,4,10,10,6,3,2,1,4,,7,14,,,,,,,,,,,1,5,7,1,2,92
co2-emissionen-durch-anlagen-nach-tehg-umweltatlas-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,5
bodenrichtwerte-01012017-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,16,2,27
standardlastprofil-wärmepumpe-2010,,,,,,1,2,3,,,,,,,2,1,3,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,1,,1,,1,1,,,,,,1,,2,2,,2,2,28
grünanlagen-wfs-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
sozialstatistisches-berichtswesen-berlin-monatsstatistiken-zu-den-empfängerinnen-und-3,,,,,,,,,,,6,13,2,34,9,3,1,5,9,5,,,,6,6,8,5,1,6,3,3,10,8,4,12,5,13,8,3,2,13,7,3,1,1,,8,13,14,18,17,13,23,,,,,,4,1,6,2,334
sozialstatistisches-berichtswesen-berlin-grundauswertungen-leistungen-nach-4-kapitel-sgb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,8,20,1,,1,,,,,,,,,,,,,,,2,35
digitale-topographische-karte-1-10-000-dtk10-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,4,9,7,24,5,11,7,5,17,20,44,49,72,90,98,100,89,59,98,116,105,135,116,45,,2,1337
detailnetz-straßenabschnitte-wfs-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,4,2,21
vbb-fahrplandaten-juni-2017-bis-dezember-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,22,7,5,3,2,,,,1,4,2,100
senatsdokumente-arbeit-integration-und-frauen-0,,,,,,,,,,,,,,16,,,,14,5,2,3,5,4,5,7,24,5,1,1,1,3,2,,,3,,,,,,,1,3,3,2,1,3,7,2,4,2,2,14,5,2,5,2,2,1,3,2,2,169
digitale-farbige-orthophotos-2004-dop25rgb-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,3
berlin-um-1900-aisber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,2,11
verwaltungseinheiten-der-berliner-forsten-wfs-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
summe-einspeisung-mittelspannung-2012-berlin,,,33,3,9,4,2,1,,1,1,,,,,1,8,3,,2,,,3,,,,1,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,1,,,2,81
gesundheitsberichterstattung-berlin-gesundheitsrelevante-verhaltensweisen-ernährung-0,,,,,,,,,,,3,1,1,2,,,1,1,,2,,5,2,,,2,,3,1,1,2,3,3,3,1,1,1,4,,,4,2,2,4,1,1,1,1,,1,1,1,1,,,,,,,2,2,2,69
vbb-fahrplandaten-juli-2017-bis-dezember-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,165,22,29,13,11,6,5,,2,2,360
strat-lärmkarte-fassadenpegel-gesamtlärm-lden-tag-abend-nacht-2012-ua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,4
schutzgebiete-im-inspire-datenmodell-denkmale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
gesundheitsberichterstattung-berlin-ausbildung-im-gesundheitswesen-weiterbildung,,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,1,,3,1,,,,,,,3,1,1,1,1,2,21
brandenburger-straßen-und-volksfeste-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,38,,,,,1,2,,1,11,20,15,15,,,,,2,1,4,,2,132
haushaltsplan-des-bezirksamtes-lichtenberg-von-berlin-für-20162017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,11,10,12,12,11,2,7,6,5,2,29,22,10,15,27,31,24,24,24,23,24,18,21,23,2,7,1,2,436
gesundheitsberichterstattung-berlin-ausgaben-und-finanzierung-gesundheitsausgaben-nach-0,,,,,,,,,,,2,1,2,2,,,,1,,1,,,,2,,3,,,,,,,,,,,,,,,,,,1,,,2,,,,,,1,,,,,,,4,1,2,25
100-mbit-breitbandversorgung-Ã¼ber-alle-technologien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,5
rbs-ortsteile-dezember-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,45,2,16,27,13,14,13,14,9,2,4,11,2,266
liste-der-hÃ¤ufigen-vornamen-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3
alkis-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,7,35,32,65,48,142,158,168,175,186,211,220,156,260,156,14,1,2,2052
verkehrsbedingte-emissionen-2015-umweltatlas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,2,5
vbb-fahrplandaten-april-bis-dezember-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,176,27,17,13,9,14,12,8,4,2,2,1,2,6,1,2,3,,1,3,,,,,1,2,335
vbb-fahrplandaten-dezember-2014-bis-dezember-2015,,,,,,,,,,,,,,,,,,,,,206,148,29,24,10,98,27,12,12,7,14,4,9,3,2,4,2,4,1,,1,,,,,,,,,1,1,,2,,,2,,3,2,3,1,2,634
lapro-beschlussfassung-biotop-und-artenschutz-programmplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,7
